Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2000,6,8,00:00,UTC,-1,-1,10.1,12.4,6.9
2000,6,9,00:00,UTC,-1,-1,6.8,10.8,4.3
2000,6,10,00:00,UTC,3.2,-1,10.2,15.8,6.8
2000,6,11,00:00,UTC,0,-1,12.7,16.3,9.8
2000,6,12,00:00,UTC,19.8,-1,8.1,15.4,4.6
2000,6,13,00:00,UTC,12.1,-1,5.1,9.9,2.4
2000,6,14,00:00,UTC,1.8,-1,6.2,10.4,4.9
2000,6,15,00:00,UTC,3.3,-1,4.1,6.3,3.3
2000,6,16,00:00,UTC,-1,-1,3.6,5.4,2.5
2000,6,17,00:00,UTC,0,-1,5.5,8.4,3.4
2000,6,18,00:00,UTC,2.1,-1,6.8,12.2,1.5
2000,6,19,00:00,UTC,6,-1,8.3,10.7,6.5
2000,6,20,00:00,UTC,3,-1,10.1,15.1,7.4
2000,6,21,00:00,UTC,-1,-1,11.8,17.2,4.4
2000,6,22,00:00,UTC,14.8,-1,11.5,15.7,8.1
2000,6,23,00:00,UTC,4.2,-1,14.6,18.6,10.9
2000,6,24,00:00,UTC,3.7,-1,14.2,18.9,11
2000,6,25,00:00,UTC,0,-1,13.1,17.4,9.4
2000,6,26,00:00,UTC,6.5,-1,14.2,18.5,8.8
2000,6,27,00:00,UTC,1.4,-1,16.1,20.6,11.2
2000,6,28,00:00,UTC,0.7,-1,19,22.7,16
2000,6,29,00:00,UTC,18,-1,18.4,25.4,13.3
2000,6,30,00:00,UTC,1.8,-1,11.5,22.7,9.9
2000,7,1,00:00,UTC,-1,-1,8.4,11.4,6.4
2000,7,2,00:00,UTC,-1,-1,10.2,12.8,8.4
2000,7,3,00:00,UTC,0,-1,9.2,11.9,8.3
2000,7,4,00:00,UTC,2.2,-1,9,11.2,7.3
2000,7,5,00:00,UTC,-1,-1,12.4,15.2,9.9
2000,7,6,00:00,UTC,-1,-1,10.7,12.8,8.3
2000,7,7,00:00,UTC,-1,-1,9.7,12.3,6.9
2000,7,8,00:00,UTC,6.6,-1,12,15.2,5.9
2000,7,9,00:00,UTC,2.6,-1,13.2,17.9,9.7
2000,7,10,00:00,UTC,10,-1,11.9,16.4,7.2
2000,7,11,00:00,UTC,-1,-1,14.9,20,9.5
2000,7,12,00:00,UTC,0.7,-1,18.1,21.4,9.8
2000,7,13,00:00,UTC,-1,-1,17,21.7,13.2
2000,7,14,00:00,UTC,1.5,-1,18.1,21.5,15.3
2000,7,15,00:00,UTC,4.1,-1,16.1,20.8,9.2
2000,7,16,00:00,UTC,8,-1,16.6,18.8,14.4
2000,7,17,00:00,UTC,0,-1,16.5,20.6,15
2000,7,18,00:00,UTC,0,-1,19.1,22.2,13.4
2000,7,19,00:00,UTC,-1,-1,23.8,29,16.9
2000,7,20,00:00,UTC,-1,-1,20.8,27.4,16.7
2000,7,21,00:00,UTC,6,-1,19,23.4,14.2
2000,7,22,00:00,UTC,1.9,-1,20,25.2,16.4
2000,7,23,00:00,UTC,12.4,-1,20.6,24.5,18.7
2000,7,24,00:00,UTC,-1,-1,14.7,20.9,12.3
2000,7,25,00:00,UTC,-1,-1,10.2,15.4,5.2
2000,7,26,00:00,UTC,-1,-1,12.4,17.9,1.3
2000,7,27,00:00,UTC,-1,-1,13.5,20.7,3.4
2000,7,28,00:00,UTC,-1,-1,16.1,22.5,4.2
2000,7,29,00:00,UTC,-1,-1,18.3,24.2,10.9
2000,7,30,00:00,UTC,-1,-1,17.6,23.4,9.1
2000,7,31,00:00,UTC,-1,-1,14.8,21.9,8.9
2000,8,1,00:00,UTC,3.3,-1,10.3,13.5,9.3
2000,8,2,00:00,UTC,0.3,-1,11.1,12.1,8.8
2000,8,3,00:00,UTC,-1,-1,12.4,16.4,9.2
2000,8,4,00:00,UTC,-1,-1,14.3,19.4,5.8
2000,8,5,00:00,UTC,-1,-1,14.5,20.9,4.4
2000,8,6,00:00,UTC,0.8,-1,13.5,19.4,3.8
2000,8,7,00:00,UTC,4,-1,14.7,20.2,8.9
2000,8,8,00:00,UTC,0,-1,12.8,18.2,6.8
2000,8,9,00:00,UTC,3.1,-1,11.6,16.4,7.4
2000,8,10,00:00,UTC,0,-1,10.7,15.2,3.5
2000,8,11,00:00,UTC,0.5,-1,11.1,13.4,9.5
2000,8,12,00:00,UTC,1.7,-1,11.4,13.4,9.4
2000,8,13,00:00,UTC,1.2,-1,10.5,14.9,4.8
2000,8,14,00:00,UTC,-1,-1,9.2,12.8,4.1
2000,8,15,00:00,UTC,-1,-1,10.2,12.4,8.3
2000,8,16,00:00,UTC,0,-1,11.2,14.6,9.7
2000,8,17,00:00,UTC,0,-1,11,13.4,9.9
2000,8,18,00:00,UTC,0.4,-1,10.1,11.5,9.8
2000,8,19,00:00,UTC,-1,-1,8.3,10.1,7.2
2000,8,20,00:00,UTC,-1,-1,9.3,12.1,6.4
2000,8,21,00:00,UTC,-1,-1,9.8,15.1,6.9
2000,8,22,00:00,UTC,-1,-1,8.6,16.7,-0.6
2000,8,23,00:00,UTC,1.2,-1,9.8,14.6,5.4
2000,8,24,00:00,UTC,0.7,-1,10.3,15.4,5.8
2000,8,25,00:00,UTC,-1,-1,10.4,15.1,5.7
2000,8,26,00:00,UTC,-1,-1,11.3,17.9,3.9
2000,8,27,00:00,UTC,-1,-1,12.9,19.1,7.4
2000,8,28,00:00,UTC,-1,-1,14,18.9,11.7
2000,8,29,00:00,UTC,1.7,-1,13.5,18.4,9.9
2000,8,30,00:00,UTC,4.5,-1,10.6,14.7,7.6
2000,8,31,00:00,UTC,2.3,-1,12.5,16.1,10.4
2000,9,1,00:00,UTC,-1,-1,9.2,11.4,7.8
2000,9,2,00:00,UTC,1.1,-1,9.1,13,6.9
2000,9,3,00:00,UTC,-1,-1,7.2,10.4,4.8
2000,9,4,00:00,UTC,-1,-1,5.6,7.4,3.9
2000,9,5,00:00,UTC,-1,-1,3.2,6.3,0.1
2000,9,6,00:00,UTC,-1,-1,3.4,9.4,-3.1
2000,9,7,00:00,UTC,-1,-1,2.6,10.4,-5.4
2000,9,8,00:00,UTC,1.7,-1,4.5,9,-2.5
2000,9,9,00:00,UTC,0.7,-1,7.6,9.9,6.4
2000,9,10,00:00,UTC,-1,-1,6.8,9.6,-0.1
2000,9,11,00:00,UTC,0.7,-1,8.2,9.9,5.8
2000,9,12,00:00,UTC,1.5,-1,7.9,9.4,6.9
2000,9,13,00:00,UTC,0.2,-1,5.3,8.3,1.9
2000,9,14,00:00,UTC,-1,-1,2.3,6.6,-1.1
2000,9,15,00:00,UTC,-1,-1,3.5,11.1,-3.7
2000,9,16,00:00,UTC,0,-1,6.4,10.2,2.4
2000,9,17,00:00,UTC,-1,-1,10.2,13.6,7.5
2000,9,18,00:00,UTC,0.2,-1,10.2,12.6,8.6
2000,9,19,00:00,UTC,0.6,-1,8.7,11.7,5.8
2000,9,20,00:00,UTC,-1,-1,4.2,7.7,1.9
2000,9,21,00:00,UTC,-1,-1,7.3,12.9,4.4
2000,9,22,00:00,UTC,-1,-1,4.9,10.9,0
2000,9,23,00:00,UTC,-1,-1,9,14.1,5.8
2000,9,24,00:00,UTC,-1,-1,7.5,11.9,4.7
2000,9,25,00:00,UTC,-1,-1,6.8,8.9,5.6
2000,9,26,00:00,UTC,-1,-1,5.6,8.6,1.8
2000,9,27,00:00,UTC,0.4,-1,3.5,8.9,-0.1
2000,9,28,00:00,UTC,0,-1,4.4,6.9,-2
2000,9,29,00:00,UTC,5.3,-1,8.2,9,4.2
2000,9,30,00:00,UTC,0,-1,9.3,10.4,9
2000,10,1,00:00,UTC,1.5,-1,9.9,10.9,8
2000,10,2,00:00,UTC,-1,-1,7.1,9.9,5.4
2000,10,3,00:00,UTC,-1,-1,8.4,10.5,5.3
2000,10,4,00:00,UTC,0,-1,8.7,9.8,7.9
2000,10,5,00:00,UTC,5.3,-1,7.3,9.2,7
2000,10,6,00:00,UTC,3.7,-1,9.1,10.9,7
2000,10,7,00:00,UTC,0.1,-1,9.7,11,8.8
2000,10,8,00:00,UTC,-1,-1,8.9,10.6,7.4
2000,10,9,00:00,UTC,-1,-1,9.4,10.9,8.4
2000,10,10,00:00,UTC,-1,-1,8.1,11,2.4
2000,10,11,00:00,UTC,0,-1,5.4,6.9,4
2000,10,12,00:00,UTC,-1,-1,4.2,6.2,1
2000,10,13,00:00,UTC,8.6,-1,4.8,5.9,1
2000,10,14,00:00,UTC,0.8,-1,5.7,7.6,4.3
2000,10,15,00:00,UTC,0.4,-1,2,6.6,-2.6
2000,10,16,00:00,UTC,0.3,-1,3.4,5.6,2.2
2000,10,17,00:00,UTC,0,-1,6.7,7.7,2.3
2000,10,18,00:00,UTC,1.6,-1,7.9,8.4,7.4
2000,10,19,00:00,UTC,-1,-1,7.3,8.4,6.5
2000,10,20,00:00,UTC,1.3,-1,6.3,7.9,3.9
2000,10,21,00:00,UTC,7.4,-1,4.2,7.3,0.8
2000,10,22,00:00,UTC,6.6,-1,6.5,7.4,5.7
2000,10,23,00:00,UTC,0.2,-1,0.3,5.8,-3.2
2000,10,24,00:00,UTC,4.3,0,-0.7,0.6,-3.6
2000,10,25,00:00,UTC,5.8,2,0.1,0.9,-1
2000,10,26,00:00,UTC,0.7,1,1.1,1.4,0.4
2000,10,27,00:00,UTC,-1,1,-0.6,0.5,-1.9
2000,10,28,00:00,UTC,0,1,-2.3,-1.4,-3.1
2000,10,29,00:00,UTC,-1,1,-4.7,-1.6,-7
2000,10,30,00:00,UTC,0.3,1,-7.5,-6.1,-9.1
2000,10,31,00:00,UTC,2.2,1,-7.9,-4.2,-13.6
2000,11,1,00:00,UTC,0.7,3,-2.8,-2.2,-5.5
2000,11,2,00:00,UTC,3,4,-2.6,-1.9,-3.3
2000,11,3,00:00,UTC,2.3,7,-3.9,-1.9,-8.2
2000,11,4,00:00,UTC,5.8,10,-1.7,0.7,-4.6
2000,11,5,00:00,UTC,6.6,3,2.8,4.4,0.5
2000,11,6,00:00,UTC,7.3,0,2.6,3.3,2
2000,11,7,00:00,UTC,0,1,-0.3,3.3,-1.1
2000,11,8,00:00,UTC,3.3,1,0.3,0.9,-1.1
2000,11,9,00:00,UTC,2.4,0,1,1.9,0.7
2000,11,10,00:00,UTC,0.7,0,3.6,4.4,1.7
2000,11,11,00:00,UTC,0.3,0,1.6,3.6,0.7
2000,11,12,00:00,UTC,1.1,-1,0.7,1,0.4
2000,11,13,00:00,UTC,0,-1,1.4,2.3,0.7
2000,11,14,00:00,UTC,2.2,-1,1.3,2.4,0.4
2000,11,15,00:00,UTC,-1,-1,0.2,1,-0.7
2000,11,16,00:00,UTC,0,-1,-2.1,-0.5,-6.1
2000,11,17,00:00,UTC,0.2,0,-3.2,-2.3,-7.6
2000,11,18,00:00,UTC,0.2,0,-5.2,-3.2,-8.1
2000,11,19,00:00,UTC,-1,0,-9.1,-6.7,-11.6
2000,11,20,00:00,UTC,-1,0,-15.7,-11.6,-17.1
2000,11,21,00:00,UTC,-1,0,-16.1,-13.8,-18.1
2000,11,22,00:00,UTC,-1,0,-18.1,-14.1,-19.8
2000,11,23,00:00,UTC,1.2,0,-10.5,-3.7,-19.8
2000,11,24,00:00,UTC,0.7,1,-2.2,-0.9,-3.7
2000,11,25,00:00,UTC,0.8,1,-0.1,0.9,-0.9
2000,11,26,00:00,UTC,2.7,1,-0.3,0.7,-0.6
2000,11,27,00:00,UTC,0.7,3,0.1,0.4,-0.1
2000,11,28,00:00,UTC,0.4,3,0.1,1.1,-0.4
2000,11,29,00:00,UTC,3.4,3,-1.3,0.2,-2.2
2000,11,30,00:00,UTC,0.6,10,-3.5,-1,-4.6
2000,12,1,00:00,UTC,0.2,10,-3.7,-3.1,-4.5
2000,12,2,00:00,UTC,5.8,10,-3.3,-2.9,-3.6
2000,12,3,00:00,UTC,1.6,16,-3.6,-3.1,-4.3
2000,12,4,00:00,UTC,0.6,16,-6.2,-3.6,-9.6
2000,12,5,00:00,UTC,6.7,15,-5.3,-3.5,-6.1
2000,12,6,00:00,UTC,5.5,16,1.5,2.8,-3.5
2000,12,7,00:00,UTC,1.3,3,0.9,3.4,-2.5
2000,12,8,00:00,UTC,0.5,5,-4.5,-2.4,-7.1
2000,12,9,00:00,UTC,-1,5,-13.7,-6.2,-19.8
2000,12,10,00:00,UTC,1.8,5,-14.7,-9.3,-21.6
2000,12,11,00:00,UTC,3.9,12,-11.1,-8.2,-16.1
2000,12,12,00:00,UTC,1.6,14,-4.5,-1.7,-8.2
2000,12,13,00:00,UTC,0.7,15,-7,-2.6,-9.5
2000,12,14,00:00,UTC,1.1,15,-3.3,-2.1,-6.5
2000,12,15,00:00,UTC,1,15,-1.6,-0.8,-3
2000,12,16,00:00,UTC,1.1,16,-1.6,-0.7,-1.8
2000,12,17,00:00,UTC,0.3,16,-3.5,-1.1,-8.3
2000,12,18,00:00,UTC,-1,16,-17.6,-8.1,-20.9
2000,12,19,00:00,UTC,-1,15,-20.1,-16,-21.8
2000,12,20,00:00,UTC,-1,15,-16.4,-12.6,-20.8
2000,12,21,00:00,UTC,1.7,15,-16.8,-12.7,-20
2000,12,22,00:00,UTC,1.5,17,-6.7,-4.3,-12.7
2000,12,23,00:00,UTC,0.7,18,-9.2,-4.8,-12.6
2000,12,24,00:00,UTC,0,18,-17.8,-11.4,-24.7
2000,12,25,00:00,UTC,-1,18,-24.4,-17.5,-30.8
2000,12,26,00:00,UTC,0.2,17,-30.2,-27.4,-32.1
2000,12,27,00:00,UTC,-1,17,-27.7,-25.2,-30.5
2000,12,28,00:00,UTC,2.3,17,-20,-14.1,-29.8
2000,12,29,00:00,UTC,3,20,-19.1,-14,-27.6
2000,12,30,00:00,UTC,6.8,20,-10,-8.7,-17.8
2000,12,31,00:00,UTC,0.9,27,-17.1,-7.4,-22.2
2001,1,1,00:00,UTC,0.6,27,-12.6,-6.8,-21
2001,1,2,00:00,UTC,5,25,-5.1,-2.5,-7.5
2001,1,3,00:00,UTC,0.6,28,-5.5,-2.5,-7.7
2001,1,4,00:00,UTC,1.8,27,-5.5,-4.9,-5.8
2001,1,5,00:00,UTC,0,28,-6.7,-5.5,-7.3
2001,1,6,00:00,UTC,0,27,-5.4,-3.9,-6.9
2001,1,7,00:00,UTC,1.1,27,-4.6,-4.2,-4.9
2001,1,8,00:00,UTC,2.8,27,-8.3,-4.9,-12.4
2001,1,9,00:00,UTC,0.5,29,-11.3,-8.8,-16
2001,1,10,00:00,UTC,3.6,29,-11.9,-8.9,-18.1
2001,1,11,00:00,UTC,1.1,33,-10.8,-7.5,-14.5
2001,1,12,00:00,UTC,-1,33,-14.2,-7.8,-22.2
2001,1,13,00:00,UTC,-1,33,-10,-4.5,-17.5
2001,1,14,00:00,UTC,-1,31,1.1,2.2,-5.7
2001,1,15,00:00,UTC,-1,29,3.1,4.3,1.1
2001,1,16,00:00,UTC,-1,27,1,3.8,-2.4
2001,1,17,00:00,UTC,-1,27,-1.7,0.2,-4.3
2001,1,18,00:00,UTC,-1,27,-6.4,0.3,-9.6
2001,1,19,00:00,UTC,0.2,27,-4.9,-0.9,-7.6
2001,1,20,00:00,UTC,-1,27,-7.5,-5,-9.6
2001,1,21,00:00,UTC,-1,27,-9.5,-7.1,-14.1
2001,1,22,00:00,UTC,0.1,27,-8.4,-6.1,-12.7
2001,1,23,00:00,UTC,0.3,27,-6.1,-4.6,-11.1
2001,1,24,00:00,UTC,0.1,27,-14.7,-6,-21.3
2001,1,25,00:00,UTC,3.9,27,-10.3,-7.5,-21.6
2001,1,26,00:00,UTC,0.8,30,-3,-1.8,-7.5
2001,1,27,00:00,UTC,0.8,30,-1.2,-0.2,-3.3
2001,1,28,00:00,UTC,1.5,31,-3,-0.3,-4.5
2001,1,29,00:00,UTC,0.4,31,-7.4,-4.5,-10
2001,1,30,00:00,UTC,0.4,32,-17,-9.1,-24.1
2001,1,31,00:00,UTC,0.2,32,-14.7,-11.7,-17.7
2001,2,1,00:00,UTC,-1,32,-23.9,-16.2,-30.1
2001,2,2,00:00,UTC,-1,32,-18.7,-14,-26.3
2001,2,3,00:00,UTC,0.5,32,-21.8,-18.1,-27
2001,2,4,00:00,UTC,1.2,32,-17.5,-12.6,-25
2001,2,5,00:00,UTC,0.8,33,-16.5,-13.3,-26.1
2001,2,6,00:00,UTC,4.5,34,-17.6,-12.1,-20.7
2001,2,7,00:00,UTC,4,33,-16.9,-12.4,-23.1
2001,2,8,00:00,UTC,5.2,37,-9,0.4,-26.2
2001,2,9,00:00,UTC,-1,38,-19.9,-6.1,-24.6
